Potential (V)	Current (A)	
-0.202119365334511	-0.000148310922668315	
-0.202426061034203	-0.000154690409544855	
-0.2033461779356	-0.000148243445437402	
-0.203959599137306	-0.000151850312249735	
-0.204879716038704	-0.000155708665261045	
-0.205493122339249	-0.000154285560711287	
-0.206719949841499	-0.000148728038766421	
-0.206719949841499	-0.00015886161418166	
-0.207640066742897	-0.000147335595102049	
-0.208253487944603	-0.000150556006701663	
-0.209173604846001	-0.000154579989612103	
-0.209480315446854	-0.000153776418301277	
-0.210400432348251	-0.000153212080476806	
-0.211013838648796	-0.000157916962052695	
-0.211933955550194	-0.000153684406541288	
-0.212240666151047	-0.000155543049913831	
-0.213160783052444	-0.000161769188707694	
-0.21377420425415	-0.000153003522427753	
-0.214387610554695	-0.000158487426233478	
-0.215614438056946	-0.00015772067126818	
-0.215614438056946	-0.000155604386236519	
-0.216534554958344	-0.000157806542119943	
-0.217454671859741	-0.000161339805345051	
-0.218068093061447	-0.000156027643242851	
-0.218681499361992	-0.000161971620400436	
-0.219294920563698	-0.000158536509843543	
-0.219908326864243	-0.000163517412147485	
-0.22082844376564	-0.000159168324898928	
-0.221748560667038	-0.00016483012586832	
-0.222361981868744	-0.000162266049301252	
-0.222975388169289	-0.000165271776495501	
-0.223282098770142	-0.000166302314028144	
-0.224202215671539	-0.000162677039043047	
-0.22542904317379	-0.00017174327513203	
-0.225735753774643	-0.000169657680089585	
-0.226655870676041	-0.000170087063452229	
-0.226962566375732	-0.000172534579178318	
-0.227882698178291	-0.000172387357451953	
-0.228802815079689	-0.000171454972587526	
-0.229109510779381	-0.000177276262547821	
-0.229722931981087	-0.000167510734172538	
-0.230643048882484	-0.000172767671756446	
-0.231256455183029	-0.000173399486811832	
-0.232176586985588	-0.00017501889669802	
-0.232789993286133	-0.000169344843016006	
-0.233096703886986	-0.000180097966222093	
-0.234323531389236	-0.00017033243784681	
-0.234630227088928	-0.000177386682480574	
-0.235550343990326	-0.000182060874067247	
-0.236163765192032	-0.000173595763044432	
-0.236777171492577	-0.000182612930075265	
-0.237697288393974	-0.000178380389115773	
-0.23831070959568	-0.000182796953595243	
-0.238924115896225	-0.000184146469109692	
-0.239537537097931	-0.000185986704309471	
-0.240457653999329	-0.000183226336957887	
-0.241377770900726	-0.00018782693950925	
-0.241377770900726	-0.000187888275831938	
-0.242297887802124	-0.000185127923032269	
-0.243218004703522	-0.000188931080629118	
-0.243218004703522	-0.000191384737263434	
-0.244751542806625	-0.000188133650226519	
-0.245058253407478	-0.000196598746697418	
-0.245978370308876	-0.000192918261745945	
-0.246591776609421	-0.000199849833734334	
-0.247511893510818	-0.000191998144146055	
-0.247818604111671	-0.000192488878383301	
-0.248432010412216	-0.000194942520465702	
-0.249658837914467	-0.000200585927814245	
-0.250272244215012	-0.00019733484077733	
-0.250578969717026	-0.000195923988940194	
-0.251192361116409	-0.000202855546376668	
-0.252112478017807	-0.000203468967811204	
-0.253032624721527	-0.000197948247659951	
-0.253952741622925	-0.000206658703973517	
-0.254566133022308	-0.00020162871805951	
-0.255179554224014	-0.000204205061891116	
-0.256406366825104	-0.000208437602850609	
-0.256406366825104	-0.000204205061891116	
-0.25701978802681	-0.000215491847484373	
-0.257939904928207	-0.000211381979170255	
-0.258553326129913	-0.000214203682844527	
-0.259473443031311	-0.000215001127799042	
-0.260086864233017	-0.000217945504118688	
-0.260393559932709	-0.000213651612284593	
-0.261313676834106	-0.000215553198358975	
-0.262540519237518	-0.000225919866352342	
-0.262540519237518	-0.000213835635804571	
-0.263767331838608	-0.000223159513552673	
-0.263767331838608	-0.000223466209718026	
-0.265300869941711	-0.000217332082684152	
-0.265300869941711	-0.000228680219152011	
-0.266527682542801	-0.000229723023949191	
-0.267141103744507	-0.000224263654672541	
-0.267754524946213	-0.000230336430831812	
-0.268367916345596	-0.000222239395952784	
-0.269288033246994	-0.000229845711146481	
-0.2699014544487	-0.000231133875786327	
-0.270514875650406	-0.000227944125072099	
-0.271434992551804	-0.000230704492423683	
-0.27204841375351	-0.000235918487305753	
-0.272661805152893	-0.000231808633543551	
-0.273275226354599	-0.000234262275625952	
-0.273581922054291	-0.000234998369705863	
-0.274808764457703	-0.000230152407311834	
-0.275115460157394	-0.000236961292102933	
-0.276035577058792	-0.000243586153374054	
-0.276342302560806	-0.000238678854657337	
-0.277569115161896	-0.000242604684899561	
-0.278795957565308	-0.00025057906168513	
-0.279409348964691	-0.000241132496739738	
-0.279716074466705	-0.00024548772489652	
-0.280636191368103	-0.00024849345209077	
-0.280942887067795	-0.000244628958171234	
-0.281556308269501	-0.000242788708419539	
-0.282476425170898	-0.000252787343924865	
-0.283396542072296	-0.000248064054176211	
-0.284009963274002	-0.000249168195296079	
-0.284623354673386	-0.000251192483119667	
-0.285236775875092	-0.000250885757850483	
-0.285850197076797	-0.000250701734330505	
-0.286770313978195	-0.000258062704233453	
-0.287077009677887	-0.000256713188719004	
-0.287997126579285	-0.000258308049524203	
-0.288610547780991	-0.000262601941358298	
-0.289530664682388	-0.00025892147095874	
-0.290450781583786	-0.000260761706158519	
-0.290757477283478	-0.000265975715592504	
-0.291677623987198	-0.000255363673204556	
-0.29198431968689	-0.000263522058958188	
-0.293211132287979	-0.000267079856712371	
-0.293517857789993	-0.000260945729678497	
-0.294131249189377	-0.000274379475740716	
-0.295358091592789	-0.000283826026134193	
-0.295971512794495	-0.000280084204860032	
-0.296278208494186	-0.000277875922620296	
-0.297198325395584	-0.000283948698779568	
-0.29781174659729	-0.000270514981821179	
-0.298118442296982	-0.00027726250118576	
-0.29903855919838	-0.000279409461654723	
-0.299958676099777	-0.000277078477665782	
-0.300572097301483	-0.000288917362922803	
-0.301185518503189	-0.000290144176688045	
-0.302105635404587	-0.000286341004539281	
-0.30271902680397	-0.000285604910459369	
-0.303639143705368	-0.000294806115562096	
-0.303945869207382	-0.000301983032841235	
-0.30486598610878	-0.000308546557789668	
-0.305786103010178	-0.000308301183395088	
-0.306092798709869	-0.000314864708343521	
-0.306706219911575	-0.000299958774121478	
-0.307319641113281	-0.000317195663228631	
-0.308546453714371	-0.000311797630274668	
-0.308853179216385	-0.000307565089315176	
-0.309466570615768	-0.000331304152496159	
-0.310386687517166	-0.000325783446896821	
-0.31069341301918	-0.000330752081936225	
-0.311613529920578	-0.000339339865604416	
-0.312533646821976	-0.000321673578582704	
-0.313147068023682	-0.000325783446896821	
-0.313453763723373	-0.000341118779033422	
-0.314373880624771	-0.000340996077284217	
-0.315293997526169	-0.000332224270096049	
-0.315907418727875	-0.000334984651999548	
-0.316520810127258	-0.000342713639838621	
-0.317440956830978	-0.000338358397129923	
-0.318361073732376	-0.000330445385770872	
-0.31897446513176	-0.000329525268170983	
-0.319587886333466	-0.000342652288964018	
-0.320201307535172	-0.000336334138410166	
-0.321428120136261	-0.000346332788467407	
-0.321734845638275	-0.000352405564626679	
-0.322041541337967	-0.000354859221260995	
-0.322961658239365	-0.000362281512934715	
-0.323881775140762	-0.000364121748134494	
-0.324188470840454	-0.000367495522368699	
-0.325722008943558	-0.000364612467819825	
-0.325415313243866	-0.000355472613591701	
-0.326642125844955	-0.000365471263648942	
-0.327255547046661	-0.000357128825271502	
-0.327255547046661	-0.000351424096152186	
-0.328175663948059	-0.000346516811987385	
-0.329095780849457	-0.000349031790392473	
-0.330015897750854	-0.000340566708473489	
-0.330322623252869	-0.000349522510077804	
-0.331549435853958	-0.0003505653294269	
-0.332469552755356	-0.000380377168767154	
-0.332469552755356	-0.000386572646675631	
-0.333696365356445	-0.000371973437722772	
-0.334309786558151	-0.000371421367162839	
-0.334923207759857	-0.000372525508282706	
-0.335536628961563	-0.000375592557247728	
-0.336150020360947	-0.000355963362380862	
-0.336763441562653	-0.000360195903340355	
-0.33768355846405	-0.000383628270355985	
-0.338296979665756	-0.000376144627807662	
-0.338910400867462	-0.000368967710528523	
-0.340137213468552	-0.00037307757884264	
-0.340137213468552	-0.000367372820619494	
-0.341057330369949	-0.000363385654054582	
-0.342284142971039	-0.000372893555322662	
-0.342284142971039	-0.000367004773579538	
-0.343510985374451	-0.000404606980737299	
-0.343510985374451	-0.000405772472731769	
-0.34473779797554	-0.000394915055949241	
-0.345351219177246	-0.000400129065383226	
-0.346271336078644	-0.000393136171624064	
-0.34688475728035	-0.000405588449211791	
-0.347498178482056	-0.000409452943131328	
-0.348418295383453	-0.00039743006345816	
-0.348724991083145	-0.000389394350349903	
-0.349645107984543	-0.000407060637371615	
-0.350565224885941	-0.00040509770042263	
-0.351178646087646	-0.000402337347622961	
-0.351485341787338	-0.000401294557377696	
-0.352098762989044	-0.000394178961869329	
-0.353018879890442	-0.000389885070035234	
-0.353632301092148	-0.000406508566811681	
-0.35393899679184	-0.000405281723942608	
-0.355165809392929	-0.000405159051297233	
-0.356085956096649	-0.000405465747462586	
-0.356392651796341	-0.000430738349677995	
-0.357312768697739	-0.000423500081524253	
-0.35761946439743	-0.000414298905525357	
-0.358846306800842	-0.000414666952565312	
-0.360073119401932	-0.000433682755101472	
-0.360073119401932	-0.000434664194472134	
-0.360686540603638	-0.000431106396717951	
-0.361606657505035	-0.00042018765816465	
-0.362220078706741	-0.000444294768385589	
-0.362526774406433	-0.000431474443757907	
-0.363140195608139	-0.000428407394792885	
-0.364367008209229	-0.000425892387283966	
-0.364980429410934	-0.000442822580225766	
-0.365900546312332	-0.000438344664871693	
-0.366207242012024	-0.000436381757026538	
-0.367434084415436	-0.000460059498436749	
-0.368047475814819	-0.000462574476841837	
-0.368660897016525	-0.000468708603875712	
-0.369274318218231	-0.00045754449092783	
-0.370194435119629	-0.000450551597168669	
-0.370807856321335	-0.000447423197329044	
-0.371421247720718	-0.000438467366620898	
-0.372034668922424	-0.000466193625470623	
